city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Helsinki,60.1756,24.9342,Finland,FI,Uusimaa,primary,642045,642045
Espoo,60.21,24.66,Finland,FI,Uusimaa,minor,269802,269802
Tampere,61.4981,23.7608,Finland,FI,Pirkanmaa,admin,225118,225118
Vantaa,60.3,25.0333,Finland,FI,Uusimaa,minor,214605,214605
Oulu,65.0142,25.4719,Finland,FI,Pohjois-Pohjanmaa,admin,200526,200526
Turku,60.4517,22.27,Finland,FI,Varsinais-Suomi,admin,187604,187604
Jyv‰skyl‰,62.2333,25.7333,Finland,FI,Keski-Suomi,admin,137368,137368
Kuopio,62.8925,27.6783,Finland,FI,Pohjois-Savo,admin,120246,120246
Lahti,60.9804,25.655,Finland,FI,P‰ij‰t-H‰me,admin,118119,118119
Kouvola,60.8681,26.7042,Finland,FI,Kymenlaakso,admin,85855,85855
Pori,61.4847,21.7972,Finland,FI,Satakunta,admin,85363,85363
Joensuu,62.6,29.7639,Finland,FI,Pohjois-Karjala,admin,75514,75514
Lappeenranta,61.0583,28.1861,Finland,FI,Etel‰-Karjala,admin,72875,72875
H‰meenlinna,61,24.4414,Finland,FI,Kanta-H‰me,admin,68011,68011
Vaasa,63.1,21.6167,Finland,FI,Pohjanmaa,admin,67619,67619
Rovaniemi,66.5028,25.7285,Finland,FI,Lappi,admin,61763,61763
Sein‰joki,62.7903,22.8403,Finland,FI,Etel‰-Pohjanmaa,admin,61530,61530
Mikkeli,61.6875,27.2736,Finland,FI,Etel‰-Savo,admin,54665,54665
Kotka,60.4667,26.9458,Finland,FI,Kymenlaakso,minor,54319,54319
Salo,60.3831,23.1331,Finland,FI,Varsinais-Suomi,minor,53890,53890
Porvoo,60.3931,25.6639,Finland,FI,Uusimaa,minor,49928,49928
Kokkola,63.8376,23.132,Finland,FI,Keski-Pohjanmaa,admin,47570,47570
Lohja,60.25,24.0667,Finland,FI,Uusimaa,minor,47353,47353
Hyvink‰‰,60.6306,24.8597,Finland,FI,Uusimaa,minor,46463,46463
Nurmij‰rvi,60.4667,24.8083,Finland,FI,Uusimaa,minor,42709,42709
J‰rvenp‰‰,60.4722,25.0889,Finland,FI,Uusimaa,minor,40106,40106
Rauma,61.1167,21.5,Finland,FI,Satakunta,minor,39809,39809
Kirkkonummi,60.1167,24.4167,Finland,FI,Uusimaa,minor,38649,38649
Tuusula,60.4028,25.0292,Finland,FI,Uusimaa,minor,38646,38646
Kajaani,64.225,27.7333,Finland,FI,Kainuu,admin,37622,37622
Jyv‰skyl‰n Maalaiskunta,62.2889,25.7417,Finland,FI,Keski-Suomi,,36100,36100
Savonlinna,61.8667,28.8831,Finland,FI,Etel‰-Savo,minor,35523,35523
Kerava,60.4028,25.1,Finland,FI,Uusimaa,minor,35293,35293
Nokia,61.4767,23.5053,Finland,FI,Pirkanmaa,minor,33322,33322
Yl‰j‰rvi,61.55,23.5833,Finland,FI,Pirkanmaa,minor,32738,32738
Kaarina,60.4069,22.3722,Finland,FI,Varsinais-Suomi,minor,32590,32590
Kangasala,61.4639,24.065,Finland,FI,Pirkanmaa,minor,32229,32229
Riihim‰ki,60.7333,24.7667,Finland,FI,Kanta-H‰me,minor,29269,29269
Vihti,60.4167,24.3331,Finland,FI,Uusimaa,,28919,28919
Raseborg,59.975,23.4361,Finland,FI,Uusimaa,minor,28405,28405
Imatra,61.1931,28.7764,Finland,FI,Etel‰-Karjala,minor,27835,27835
Sastamala,61.3417,22.9083,Finland,FI,Pirkanmaa,minor,25220,25220
Raahe,64.6847,24.4792,Finland,FI,Pohjois-Pohjanmaa,minor,25165,25165
Raisio,60.4861,22.1694,Finland,FI,Varsinais-Suomi,minor,24290,24290
Hollola,60.9886,25.5128,Finland,FI,P‰ij‰t-H‰me,minor,23915,23915
Lemp‰‰l‰,61.3139,23.7528,Finland,FI,Pirkanmaa,minor,22536,22536
Iisalmi,63.5611,27.1889,Finland,FI,Pohjois-Savo,minor,21945,21945
Tornio,65.8497,24.1441,Finland,FI,Lappi,minor,21928,21928
Siilinj‰rvi,63.075,27.66,Finland,FI,Pohjois-Savo,minor,21794,21794
Kemi,65.7336,24.5634,Finland,FI,Lappi,minor,21758,21758
Kurikka,62.6167,22.4,Finland,FI,Etel‰-Pohjanmaa,minor,21734,21734
J‰ms‰,61.8639,25.1903,Finland,FI,Keski-Suomi,minor,21542,21542
Varkaus,62.3167,27.8833,Finland,FI,Pohjois-Savo,minor,21155,21155
Valkeakoski,61.2667,24.0306,Finland,FI,Pirkanmaa,minor,20800,20800
M‰nts‰l‰,60.6331,25.3167,Finland,FI,Uusimaa,minor,20685,20685
‰‰nekoski,62.6042,25.7264,Finland,FI,Keski-Suomi,minor,19919,19919
Hamina,60.5697,27.1981,Finland,FI,Kymenlaakso,minor,19877,19877
Heinola,61.2028,26.0319,Finland,FI,P‰ij‰t-H‰me,minor,19575,19575
Jakobstad,63.6667,22.7,Finland,FI,Pohjanmaa,minor,19436,19436
Sipoo,60.3764,25.2722,Finland,FI,Uusimaa,minor,19399,19399
Korsholm,63.1125,21.6778,Finland,FI,Pohjanmaa,minor,19302,19302
Lieto,60.5,22.4497,Finland,FI,Varsinais-Suomi,minor,19263,19263
Naantali,60.4681,22.0264,Finland,FI,Varsinais-Suomi,minor,18916,18916
Pirkkala,61.4667,23.65,Finland,FI,Pirkanmaa,minor,18913,18913
Laukaa,62.4167,25.95,Finland,FI,Keski-Suomi,minor,18865,18865
Pieks‰m‰ki,62.3,27.1583,Finland,FI,Etel‰-Savo,minor,18220,18220
Forssa,60.8167,23.6167,Finland,FI,Kanta-H‰me,minor,17422,17422
Kempele,64.9125,25.5083,Finland,FI,Pohjois-Pohjanmaa,minor,17066,17066
Toijala,61.1667,23.8681,Finland,FI,Pirkanmaa,minor,17043,17043
Kauhava,63.1014,23.0639,Finland,FI,Etel‰-Pohjanmaa,minor,16784,16784
Loimaa,60.8514,23.0583,Finland,FI,Varsinais-Suomi,minor,16467,16467
Orimattila,60.8042,25.7333,Finland,FI,P‰ij‰t-H‰me,minor,16326,16326
Kuusamo,65.9667,29.1667,Finland,FI,Pohjois-Pohjanmaa,minor,15688,15688
Uusikaupunki,60.7833,21.4167,Finland,FI,Varsinais-Suomi,minor,15510,15510
Pargas,60.3,22.3,Finland,FI,Varsinais-Suomi,minor,15457,15457
Loviisa,60.4569,26.225,Finland,FI,Uusimaa,minor,15311,15311
Ylivieska,64.0722,24.5375,Finland,FI,Pohjois-Pohjanmaa,minor,15039,15039
Nastola,60.9477,25.9301,Finland,FI,P‰ij‰t-H‰me,minor,14890,14890
Kontiolahti,62.7667,29.85,Finland,FI,Pohjois-Karjala,minor,14827,14827
Lapua,62.9708,23.0069,Finland,FI,Etel‰-Pohjanmaa,minor,14609,14609
Kauhajoki,62.4319,22.1794,Finland,FI,Etel‰-Pohjanmaa,minor,13875,13875
Ulvila,61.4292,21.875,Finland,FI,Satakunta,minor,13237,13237
Kalajoki,64.2597,23.9486,Finland,FI,Pohjois-Pohjanmaa,minor,12621,12621
Ilmajoki,62.7333,22.5833,Finland,FI,Etel‰-Pohjanmaa,minor,12159,12159
Liperi,62.5333,29.3833,Finland,FI,Pohjois-Karjala,minor,12150,12150
Eura,61.1333,22.0833,Finland,FI,Satakunta,minor,12128,12128
Alavus,62.5861,23.6194,Finland,FI,Etel‰-Pohjanmaa,minor,12044,12044
Lieksa,63.3167,30.0167,Finland,FI,Pohjois-Karjala,minor,11772,11772
Kankaanp‰‰,61.8042,22.3944,Finland,FI,Satakunta,minor,11769,11769
Mariehamn,60.0986,19.9444,Finland,FI,≈land,admin,11461,11461
Nivala,63.9292,24.9778,Finland,FI,Pohjois-Pohjanmaa,minor,10876,10876
Kitee,62.0986,30.1375,Finland,FI,Pohjois-Karjala,minor,10832,10832
H‰meenkyr‰,61.6333,23.2,Finland,FI,Pirkanmaa,minor,10667,10667
Paimio,60.4569,22.6861,Finland,FI,Varsinais-Suomi,minor,10620,10620
Sotkamo,64.1333,28.3833,Finland,FI,Kainuu,minor,10523,10523
Huittinen,61.1764,22.6986,Finland,FI,Satakunta,minor,10473,10473
Keuruu,62.2597,24.7069,Finland,FI,Keski-Suomi,minor,10117,10117
Alaj‰rvi,63,23.8167,Finland,FI,Etel‰-Pohjanmaa,minor,10006,10006
Lapinlahti,63.3667,27.3833,Finland,FI,Pohjois-Savo,minor,9982,9982
Ii,65.3167,25.3722,Finland,FI,Pohjois-Pohjanmaa,minor,9966,9966
Lepp‰virta,62.4917,27.7875,Finland,FI,Pohjois-Savo,minor,9953,9953
Liminka,64.8083,25.4167,Finland,FI,Pohjois-Pohjanmaa,minor,9937,9937
Saarij‰rvi,62.7056,25.2569,Finland,FI,Keski-Suomi,minor,9915,9915
Muurame,62.1292,25.6722,Finland,FI,Keski-Suomi,minor,9791,9791
Masku,60.5708,22.1,Finland,FI,Varsinais-Suomi,minor,9706,9706
Kauniainen,60.2097,24.7264,Finland,FI,Uusimaa,minor,9486,9486
Orivesi,61.6778,24.3569,Finland,FI,Pirkanmaa,minor,9408,9408
N‰rpes,62.4736,21.3375,Finland,FI,Pohjanmaa,minor,9387,9387
Somero,60.6292,23.5139,Finland,FI,Varsinais-Suomi,minor,9093,9093
Muhos,64.8,26,Finland,FI,Pohjois-Pohjanmaa,minor,9063,9063
Karkkila,60.5347,24.2097,Finland,FI,Uusimaa,minor,8969,8969
Hanko,59.8236,22.9681,Finland,FI,Uusimaa,minor,8864,8864
Kuhmo,64.125,29.5167,Finland,FI,Kainuu,minor,8806,8806
Sodankyl‰,67.4149,26.5907,Finland,FI,Lappi,minor,8782,8782
Kiuruvesi,63.6528,26.6194,Finland,FI,Pohjois-Savo,minor,8600,8600
Laitila,60.8792,21.6931,Finland,FI,Varsinais-Suomi,minor,8520,8520
Keminmaa,65.799,24.5426,Finland,FI,Lappi,minor,8388,8388
Suomussalmi,64.8833,28.9167,Finland,FI,Kainuu,minor,8336,8336
Pudasj‰rvi,65.3583,27,Finland,FI,Pohjois-Pohjanmaa,minor,8257,8257
Loppi,60.7181,24.4417,Finland,FI,Kanta-H‰me,minor,8175,8175
Laihia,62.9764,22.0111,Finland,FI,Pohjanmaa,minor,8090,8090
Nurmes,63.5444,29.1333,Finland,FI,Pohjois-Karjala,minor,7996,7996
Jalasj‰rvi,62.4917,22.7667,Finland,FI,Etel‰-Pohjanmaa,minor,7885,7885
Myn‰m‰ki,60.6833,21.9833,Finland,FI,Varsinais-Suomi,minor,7859,7859
Kemij‰rvi,66.715,27.4306,Finland,FI,Lappi,minor,7766,7766
Oulainen,64.2667,24.8167,Finland,FI,Pohjois-Pohjanmaa,minor,7610,7610
Kokem‰ki,61.2556,22.3486,Finland,FI,Satakunta,minor,7591,7591
Nykarleby,63.5167,22.5333,Finland,FI,Pohjanmaa,minor,7564,7564
Haapaj‰rvi,63.7486,25.3181,Finland,FI,Pohjois-Pohjanmaa,minor,7438,7438
Suonenjoki,62.625,27.1222,Finland,FI,Pohjois-Savo,minor,7390,7390
Harjavalta,61.3139,22.1417,Finland,FI,Satakunta,minor,7296,7296
Ikaalinen,61.7694,23.0681,Finland,FI,Pirkanmaa,minor,7207,7207
Haapavesi,64.1375,25.3667,Finland,FI,Pohjois-Pohjanmaa,minor,7167,7167
Outokumpu,62.725,29.0167,Finland,FI,Pohjois-Karjala,minor,7139,7139
M‰ntt‰,62.0292,24.6236,Finland,FI,Pirkanmaa,minor,7077,7077
S‰kyl‰,61.05,22.35,Finland,FI,Satakunta,minor,7070,7070
Virrat,62.2403,23.7708,Finland,FI,Pirkanmaa,minor,7002,7002
Inari,68.9055,27.0176,Finland,FI,Lappi,minor,6804,6804
Tyrn‰v‰,64.75,25.65,Finland,FI,Pohjois-Pohjanmaa,minor,6793,6793
Kristinestad,62.2736,21.3778,Finland,FI,Pohjanmaa,minor,6793,6793
Parkano,62.0097,23.025,Finland,FI,Pirkanmaa,minor,6766,6766
V‰r√•,63.1333,22.25,Finland,FI,Pohjanmaa,minor,6714,6714
Kronoby,63.725,23.0333,Finland,FI,Pohjanmaa,minor,6682,6682
P‰lk‰ne,61.3389,24.2681,Finland,FI,Pirkanmaa,minor,6676,6676
Viitasaari,63.075,25.8597,Finland,FI,Keski-Suomi,minor,6666,6666
Juva,61.8972,27.8569,Finland,FI,Etel‰-Savo,minor,6548,6548
Kittil‰,67.6531,24.9114,Finland,FI,Lappi,minor,6416,6416
Tammela,60.8,23.7667,Finland,FI,Kanta-H‰me,minor,6280,6280
Siuntio,60.1333,24.2167,Finland,FI,Uusimaa,minor,6182,6182
M‰ntyharju,61.4181,26.8792,Finland,FI,Etel‰-Savo,minor,6159,6159
Rusko,60.5417,22.2222,Finland,FI,Varsinais-Suomi,minor,6110,6110
‰ht‰ri,62.55,24.0694,Finland,FI,Etel‰-Pohjanmaa,minor,6068,6068
Eurajoki,61.2,21.7333,Finland,FI,Satakunta,minor,5938,5938
Nakkila,61.3653,22.0042,Finland,FI,Satakunta,minor,5651,5651
Kangasniemi,61.99,26.6417,Finland,FI,Etel‰-Savo,minor,5628,5628
Malax,62.9417,21.55,Finland,FI,Pohjanmaa,minor,5545,5545
Ing√•,60.0458,24.0056,Finland,FI,Uusimaa,minor,5541,5541
Kannus,63.9017,23.9151,Finland,FI,Keski-Pohjanmaa,minor,5520,5520
Teuva,62.4861,21.7472,Finland,FI,Etel‰-Pohjanmaa,minor,5482,5482
Jokioinen,60.8042,23.4861,Finland,FI,Kanta-H‰me,minor,5425,5425
Ilomantsi,62.6667,30.9333,Finland,FI,Pohjois-Karjala,minor,5336,5336
Ruokolahti,61.2917,28.8167,Finland,FI,Etel‰-Karjala,minor,5312,5312
Hankasalmi,62.3889,26.4361,Finland,FI,Keski-Suomi,minor,5240,5240
Parikkala,61.55,29.5,Finland,FI,Etel‰-Karjala,minor,5235,5235
Larsmo,63.75,22.8,Finland,FI,Pohjanmaa,minor,5147,5147
Pornainen,60.475,25.375,Finland,FI,Uusimaa,minor,5125,5125
Sievi,63.9069,24.5167,Finland,FI,Pohjois-Pohjanmaa,minor,5124,5124
Joroinen,62.1792,27.8278,Finland,FI,Etel‰-Savo,minor,5110,5110
Askola,60.5278,25.6,Finland,FI,Uusimaa,minor,5104,5104
Juuka,63.2417,29.25,Finland,FI,Pohjois-Karjala,minor,5034,5034
Nousiainen,60.6,22.0833,Finland,FI,Varsinais-Suomi,minor,4859,4859
Urjala,61.0833,23.55,Finland,FI,Pirkanmaa,minor,4829,4829
Taipalsaari,61.1597,28.0597,Finland,FI,Etel‰-Karjala,minor,4815,4815
Juankoski,63.0639,28.3278,Finland,FI,Pohjois-Savo,minor,4804,4804
Isokyr‰,63,22.3167,Finland,FI,Pohjanmaa,minor,4785,4785
Pielavesi,63.2333,26.7583,Finland,FI,Pohjois-Savo,minor,4740,4740
Tohmaj‰rvi,62.2264,30.3319,Finland,FI,Pohjois-Karjala,minor,4738,4738
Ruukki,64.6639,25.1014,Finland,FI,Pohjois-Pohjanmaa,minor,4721,4721
Joutsa,61.7417,26.1153,Finland,FI,Keski-Suomi,minor,4688,4688
Jomala,60.15,19.95,Finland,FI,≈land,minor,4648,4648
Ruovesi,61.9833,24.0833,Finland,FI,Pirkanmaa,minor,4623,4623
Polvij‰rvi,62.855,29.3667,Finland,FI,Pohjois-Karjala,minor,4556,4556
Vesilahti,61.3167,23.6167,Finland,FI,Pirkanmaa,minor,4489,4489
Ylitornio,66.3167,23.6667,Finland,FI,Lappi,minor,4291,4291
Sonkaj‰rvi,63.6667,27.5167,Finland,FI,Pohjois-Savo,minor,4278,4278
Karstula,62.875,24.8,Finland,FI,Keski-Suomi,minor,4268,4268
Pihtipudas,63.3667,25.575,Finland,FI,Keski-Suomi,minor,4221,4221
Taivalkoski,65.575,28.2417,Finland,FI,Pohjois-Pohjanmaa,minor,4199,4199
Sysm‰,61.5028,25.6847,Finland,FI,P‰ij‰t-H‰me,minor,4040,4040
Ranua,65.9275,26.5184,Finland,FI,Lappi,minor,4020,4020
Pet‰j‰vesi,62.25,25.1833,Finland,FI,Keski-Suomi,minor,4008,4008
Aura,60.6472,22.5903,Finland,FI,Varsinais-Suomi,minor,3991,3991
Maaninka,63.1583,27.3,Finland,FI,Pohjois-Savo,minor,3773,3773
Vierem‰,63.7431,27.0014,Finland,FI,Pohjois-Savo,minor,3757,3757
Rantasalmi,62.0667,28.3,Finland,FI,Etel‰-Savo,minor,3733,3733
Salla,66.8333,28.6667,Finland,FI,Lappi,minor,3727,3727
Kuortane,62.8083,23.5083,Finland,FI,Etel‰-Pohjanmaa,minor,3715,3715
Uurainen,62.5,25.4367,Finland,FI,Keski-Suomi,minor,3666,3666
Pello,66.7756,23.9635,Finland,FI,Lappi,minor,3623,3623
Savitaipale,61.2,27.6833,Finland,FI,Etel‰-Karjala,minor,3613,3613
Hein‰vesi,62.425,28.6333,Finland,FI,Etel‰-Savo,minor,3574,3574
Paltamo,64.4083,27.8417,Finland,FI,Kainuu,minor,3488,3488
Posio,66.1097,28.1739,Finland,FI,Lappi,minor,3477,3477
Luvia,61.3611,21.625,Finland,FI,Satakunta,minor,3349,3349
Virolahti,60.5833,27.7,Finland,FI,Kymenlaakso,minor,3347,3347
Kimito,60.1639,22.7278,Finland,FI,Varsinais-Suomi,minor,3339,3339
Toholampi,63.775,24.25,Finland,FI,Keski-Pohjanmaa,minor,3311,3311
Rautalampi,62.6217,26.8333,Finland,FI,Pohjois-Savo,minor,3303,3303
Veteli,63.4753,23.7886,Finland,FI,Keski-Pohjanmaa,minor,3302,3302
Simo,65.6613,25.0623,Finland,FI,Lappi,minor,3238,3238
Lappaj‰rvi,63.2167,23.6333,Finland,FI,Etel‰-Pohjanmaa,minor,3215,3215
Pyh‰joki,64.4667,24.2583,Finland,FI,Pohjois-Pohjanmaa,minor,3211,3211
Tervola,66.0821,24.808,Finland,FI,Lappi,minor,3195,3195
Kaavi,62.975,28.4833,Finland,FI,Pohjois-Savo,minor,3194,3194
Merikarvia,61.8583,21.5,Finland,FI,Satakunta,minor,3185,3185
Padasjoki,61.35,25.275,Finland,FI,P‰ij‰t-H‰me,minor,3143,3143
Vaala,64.55,26.8333,Finland,FI,Kainuu,minor,3074,3074
Lemi,61.0611,27.8042,Finland,FI,Etel‰-Karjala,minor,3073,3073
Vimpeli,63.1617,23.8167,Finland,FI,Etel‰-Pohjanmaa,minor,3073,3073
Punkalaidun,61.1117,23.105,Finland,FI,Pirkanmaa,minor,3049,3049
Sauvo,60.3417,22.6917,Finland,FI,Varsinais-Suomi,minor,3019,3019
Hartola,61.5784,26.0142,Finland,FI,P‰ij‰t-H‰me,minor,2982,2982
Reisj‰rvi,63.6056,24.9319,Finland,FI,Pohjois-Pohjanmaa,minor,2894,2894
Utaj‰rvi,64.75,26.4167,Finland,FI,Pohjois-Pohjanmaa,minor,2861,2861
Perho,63.2167,24.4167,Finland,FI,Keski-Pohjanmaa,minor,2860,2860
Puolanka,64.8681,27.6708,Finland,FI,Kainuu,minor,2776,2776
Lapptr‰sk,60.6167,26.2,Finland,FI,Uusimaa,minor,2774,2774
Konnevesi,62.6283,26.2833,Finland,FI,Keski-Suomi,minor,2757,2757
Sulkava,61.7875,28.3708,Finland,FI,Etel‰-Savo,minor,2724,2724
Alavieska,64.1667,24.3083,Finland,FI,Pohjois-Pohjanmaa,minor,2687,2687
K‰rs‰m‰ki,63.975,25.7583,Finland,FI,Pohjois-Pohjanmaa,minor,2658,2658
K‰yli‰,61.1167,22.3083,Finland,FI,Satakunta,minor,2647,2647
Tuusniemi,62.8083,28.4917,Finland,FI,Pohjois-Savo,minor,2597,2597
Evij‰rvi,63.3667,23.475,Finland,FI,Etel‰-Pohjanmaa,minor,2499,2499
Karvia,62.1333,22.5583,Finland,FI,Satakunta,minor,2475,2475
Toivakka,62.1,26.0833,Finland,FI,Keski-Suomi,minor,2431,2431
Hyrynsalmi,64.675,28.4917,Finland,FI,Kainuu,minor,2422,2422
Yp‰j‰,60.8083,23.2833,Finland,FI,Kanta-H‰me,minor,2411,2411
Humppila,60.925,23.3667,Finland,FI,Kanta-H‰me,minor,2388,2388
Keitele,63.1783,26.35,Finland,FI,Pohjois-Savo,minor,2379,2379
Koski Tl,60.6542,23.1403,Finland,FI,Varsinais-Suomi,minor,2359,2359
Muonio,67.9593,23.6772,Finland,FI,Lappi,minor,2358,2358
R‰‰kkyl‰,62.3133,29.625,Finland,FI,Pohjois-Karjala,minor,2349,2349
Kuhmoinen,61.5667,25.1833,Finland,FI,Keski-Suomi,minor,2334,2334
Valtimo,63.68,28.8167,Finland,FI,Pohjois-Karjala,minor,2324,2324
Hirvensalmi,61.6389,26.7806,Finland,FI,Etel‰-Savo,minor,2290,2290
Puumala,61.525,28.1833,Finland,FI,Etel‰-Savo,minor,2260,2260
Pomarkku,61.6917,22.0083,Finland,FI,Satakunta,minor,2240,2240
Soini,62.875,24.2083,Finland,FI,Etel‰-Pohjanmaa,minor,2224,2224
Korsn‰s,62.7833,21.1833,Finland,FI,Pohjanmaa,minor,2201,2201
Vesanto,62.9333,26.4167,Finland,FI,Pohjois-Savo,minor,2191,2191
Pyh‰ranta,60.95,21.4417,Finland,FI,Varsinais-Suomi,minor,2136,2136
Isojoki,62.1139,21.9583,Finland,FI,Etel‰-Pohjanmaa,minor,2123,2123
H‰meenkoski,61.025,25.15,Finland,FI,P‰ij‰t-H‰me,minor,2104,2104
Miehikk‰l‰,60.6708,27.7,Finland,FI,Kymenlaakso,minor,2085,2085
Lumijoki,64.8367,25.1867,Finland,FI,Pohjois-Pohjanmaa,minor,2076,2076
Kihni‰,62.2083,23.1792,Finland,FI,Pirkanmaa,minor,2038,2038
Marttila,60.5833,22.9,Finland,FI,Varsinais-Suomi,minor,2028,2028
Lemland,60.0806,20.1,Finland,FI,≈land,minor,1991,1991
Pukkila,60.645,25.5833,Finland,FI,Uusimaa,minor,1971,1971
Myrskyl‰,60.6667,25.85,Finland,FI,Uusimaa,minor,1969,1969
Tarvasjoki,60.5833,22.7333,Finland,FI,Varsinais-Suomi,minor,1958,1958
J‰mij‰rvi,61.8167,22.6917,Finland,FI,Satakunta,minor,1948,1948
Lavia,61.5958,22.5861,Finland,FI,Satakunta,minor,1890,1890
Enonteki‰,68.3847,23.6389,Finland,FI,Lappi,minor,1861,1861
Pulkkila,64.2667,25.8667,Finland,FI,Pohjois-Pohjanmaa,minor,1843,1843
Pertunmaa,61.5028,26.4792,Finland,FI,Etel‰-Savo,minor,1817,1817
Honkajoki,61.9931,22.2639,Finland,FI,Satakunta,minor,1793,1793
Kinnula,63.3667,24.9667,Finland,FI,Keski-Suomi,minor,1745,1745
Rautavaara,63.4944,28.2986,Finland,FI,Pohjois-Savo,minor,1737,1737
Multia,62.4083,24.795,Finland,FI,Keski-Suomi,minor,1710,1710
Taivassalo,60.5617,21.6083,Finland,FI,Varsinais-Suomi,minor,1633,1633
Tervo,62.9556,26.7556,Finland,FI,Pohjois-Savo,minor,1608,1608
Pyh‰nt‰,64.0972,26.3306,Finland,FI,Pohjois-Pohjanmaa,minor,1587,1587
Hammarland,60.2167,19.7403,Finland,FI,≈land,minor,1537,1537
Siikainen,61.8833,21.8167,Finland,FI,Satakunta,minor,1527,1527
Enonkoski,62.0889,28.9333,Finland,FI,Etel‰-Savo,minor,1473,1473
Kannonkoski,62.975,25.2667,Finland,FI,Keski-Suomi,minor,1462,1462
Kyyj‰rvi,63.0431,24.5639,Finland,FI,Keski-Suomi,minor,1379,1379
Orip‰‰,60.8556,22.6972,Finland,FI,Varsinais-Suomi,minor,1377,1377
Karijoki,62.3083,21.7083,Finland,FI,Etel‰-Pohjanmaa,minor,1369,1369
Ristij‰rvi,64.5056,28.2139,Finland,FI,Kainuu,minor,1351,1351
Kaskinen,62.3847,21.2222,Finland,FI,Pohjanmaa,minor,1285,1285
Utsjoki,69.9078,27.0265,Finland,FI,Lappi,minor,1250,1250
Halsua,63.4633,24.1667,Finland,FI,Keski-Pohjanmaa,minor,1225,1225
Kivij‰rvi,63.12,25.075,Finland,FI,Keski-Suomi,minor,1200,1200
Merij‰rvi,64.2967,24.4467,Finland,FI,Pohjois-Pohjanmaa,minor,1134,1134
Savukoski,67.2917,28.1667,Finland,FI,Lappi,minor,1061,1061
Hailuoto,65.0167,24.7167,Finland,FI,Pohjois-Pohjanmaa,minor,993,993
Pelkosenniemi,67.1083,27.5167,Finland,FI,Lappi,minor,958,958
Ecker‰,60.2167,19.55,Finland,FI,≈land,minor,935,935
Kustavi,60.5467,21.3583,Finland,FI,Varsinais-Suomi,minor,895,895
Lestij‰rvi,63.525,24.6653,Finland,FI,Keski-Pohjanmaa,minor,798,798
Luhanka,61.8,25.7,Finland,FI,Keski-Suomi,minor,761,761
Br‰nd‰,60.4117,21.0453,Finland,FI,≈land,minor,515,515
Geta,60.375,19.85,Finland,FI,≈land,minor,495,495
V√•rd‰,60.2417,20.375,Finland,FI,≈land,minor,441,441
Lumparland,60.1167,20.2583,Finland,FI,≈land,minor,398,398
Kumlinge,60.2583,20.7783,Finland,FI,≈land,minor,317,317
Sottunga,60.1333,20.6667,Finland,FI,≈land,minor,92,92
Nummela,60.3333,24.3333,Finland,FI,Uusimaa,minor,,
Turenki,60.9167,24.6333,Finland,FI,Kanta-H‰me,minor,,
Parola,61.05,24.3667,Finland,FI,Kanta-H‰me,minor,,
Oitti,60.7833,25.0333,Finland,FI,Kanta-H‰me,minor,,
Godby,60.23,19.9881,Finland,FI,≈land,minor,,
J‰rvel‰,60.868,25.273,Finland,FI,P‰ij‰t-H‰me,minor,,
Siltakyl‰,60.4958,26.7097,Finland,FI,Kymenlaakso,minor,,
V‰‰ksy,61.1722,25.5472,Finland,FI,P‰ij‰t-H‰me,minor,,
√ñdkarby,60.3073,19.9862,Finland,FI,≈land,minor,,
Benn‰s,63.6,22.7917,Finland,FI,Pohjanmaa,minor,,
Kaustinen,63.5481,23.6999,Finland,FI,Keski-Pohjanmaa,minor,,
Kyr‰,60.7,22.75,Finland,FI,Varsinais-Suomi,minor,,
Vinkkil‰,60.6833,21.7167,Finland,FI,Varsinais-Suomi,minor,,
Kausala,60.8928,26.3394,Finland,FI,Kymenlaakso,minor,,
Simpele,61.4333,29.367,Finland,FI,Etel‰-Karjala,minor,,
Dalsbruk,60.0333,22.5167,Finland,FI,Varsinais-Suomi,minor,,
Bj‰rby,60.2572,20.1342,Finland,FI,≈land,minor,,
Korkeakoski,61.8,24.3667,Finland,FI,Pirkanmaa,minor,,
Taavetti,60.9167,27.5667,Finland,FI,Etel‰-Karjala,minor,,
F‰gl‰,60,20.4333,Finland,FI,≈land,minor,,
Pyh‰salmi,63.6833,25.9833,Finland,FI,Pohjois-Pohjanmaa,minor,,
Karlby,59.9167,20.9,Finland,FI,≈land,minor,,
Polvij‰rvi,62.4167,28.3333,Finland,FI,Etel‰-Savo,minor,,
Kolari,67.3317,23.7913,Finland,FI,Lappi,minor,,
Ivalo,68.6565,27.5404,Finland,FI,Lappi,minor,,
≈va,60.4667,21.0833,Finland,FI,≈land,minor,,
